Min,Mean
10971.8,18125.2
10971.8,18278.7
10971.8,18196.5
10971.8,18507.1
10971.8,18395.2
10971.8,18493.9
10971.8,18537.6
10971.8,18789.8
10971.8,18544
10971.8,18263.7
10971.8,18571.7
10971.8,18766.3
10971.8,18757.2
10971.8,18740.9
10971.8,18724.9
10971.8,18485.7
10971.8,18677.2
10971.8,18871.8
10971.8,18568.9
10971.8,18719.8
10971.8,18708
10971.8,18631.8
10971.8,18208.5
10971.8,18225.2
10971.8,18381.6
10971.8,18306.4
10971.8,18267
10971.8,18342.4
10971.8,18189.8
10971.8,17915.9
10971.8,18095.1
10971.8,17887.2
10971.8,18119.1
10971.8,18053.8
10971.8,18311.7
10971.8,18394.3
10971.8,18307.1
10971.8,18044.8
10971.8,18123.2
10971.8,17875.8
10971.8,18353
10971.8,18278.8
10971.8,18335.9
10971.8,18065.8
10971.8,18009.7
10971.8,18020.9
10971.8,18402
10971.8,18219.7
10971.8,18250.3
10971.8,17963.6
10971.8,18041.7
10971.8,18036.8
10971.8,17945.4
10971.8,17902.7
10971.8,18038.3
10971.8,17811.9
10971.8,17709.7
10971.8,17526.9
10971.8,17713.9
10971.8,18048.7
10971.8,17914.4
10971.8,18059.9
10971.8,18221.2
10971.8,18464.5
10971.8,18535.2
10971.8,18806.8
10971.8,18714.8
10971.8,18768
10970.8,18749.9
10970.8,18556.8
10970.8,18585.3
10970.8,18345.7
10970.8,18447.2
10970.8,18384.6
10970.8,18176.3
10970.8,18469.8
10970.8,18347.2
10970.8,18237.9
10970.8,18206.4
10970.8,18256.3
10970.8,18207.5
10970.8,18263
10970.8,18472.9
10970.8,18342.8
10970.8,18582.8
10970.8,18632
10970.8,18580.5
10970.8,18537
10970.8,18466.4
10970.8,18418.4
10970.8,18660.3
10970.8,18394.6
10970.8,18582.4
10970.8,18722.8
10970.8,18794
10970.8,18879.8
10970.8,19110.2
10970.8,18703.2
10970.8,18489.5
10970.8,18289.8
10970.8,18224.7
10970.8,18352
10970.8,18173.3
10970.8,17976.5
10970.8,18188
10970.8,18351.6
10970.8,18171.3
10970.8,18159.9
10970.8,18404.5
10970.8,18439.8
10970.8,18313.9
10970.8,18163.8
10970.8,17979.9
10970.8,18139.4
10970.8,18185.9
10970.8,18134.3
10970.8,18086.6
10970.8,17800.2
10970.8,17764.6
10970.8,18021.1
10970.8,17926.8
10970.8,17895.1
10970.8,18067
10970.8,17669.3
10970.8,17500.8
10970.8,18027.6
10970.8,18070.5
10970.8,18084.3
10970.8,18322.4
10970.8,18333.7
10970.8,18028.7
10970.8,18107.5
10970.8,17991.6
10970.8,18138.2
10970.8,17617.6
10970.8,17938.7
10970.8,17667.3
10970.8,17921.6
10970.8,18034.2
10970.8,18179.1
10970.8,18318.1
10970.8,17889.8
10970.8,18000.5
10970.8,18179.5
10970.8,18354.4
10970.8,18018.8
10970.8,18446.2
10970.8,18594
10970.8,18118.2
10970.8,18394.6
10970.8,18200.9
10970.8,17890.5
10970.8,18119.1
10970.8,18397.2
10970.8,18535.8
10970.8,18503
10970.8,18247.7
10970.8,18196.6
10970.8,18271.3
10970.8,18410.6
10970.8,18400
10970.8,18223.8
10970.8,18250.8
10970.8,18191.1
10970.8,18315.7
10970.8,18111.5
10970.8,18309.7
10970.8,18318.9
10970.8,18327
10970.8,18357.3
10970.8,18095.4
10970.8,18237
10970.8,18539.1
10970.8,18217.5
10970.8,18440.3
10970.8,18468.8
10970.8,18206.7
10970.8,18161.3
10970.8,18218.6
10970.8,18216.4
10970.8,18155.7
10970.8,18166.6
10970.8,18070.9
10970.8,18028
10970.8,18043.6
10970.8,17876.4
10970.8,17879.6
10970.8,17835.6
10970.8,17744.7
10970.8,17914.3
10970.8,18037.7
10970.8,18068.6
10970.8,18469.4
10970.8,18014.2
10970.8,18195.1
10915.6,18105.9
10915.6,18136.9
10915.6,17866.5
10915.6,18006.1
10915.6,18514.6
10915.6,18432.6
10915.6,18094.7
10915.6,17999.3
10915.6,18022.3
10915.6,18403.3
10915.6,18140.4
10915.6,18287.4
10915.6,18160.5
10915.6,18035.1
10915.6,18011.6
10915.6,18157.4
10915.6,18105.4
10915.6,18163.6
10915.6,17853.8
10915.6,18029.9
10915.6,17871.7
10915.6,18148.1
10915.6,17932.2
10915.6,17804.5
10915.6,18036.1
10915.6,17824
10915.6,17488.8
10915.6,17796.4
10915.6,17708.9
10915.6,17712.9
10915.6,17860.9
10915.6,17891.6
10915.6,17969.6
10915.6,17893.2
10915.6,17981.1
10915.6,18159.7
10915.6,18128
10915.6,18166.5
10915.6,17933.3
10915.6,18044.1
10915.6,18258.7
10915.6,18333.9
10915.6,18009.1
10915.6,18098.4
10915.6,18074.7
10915.6,18232.3
10915.6,17962.4
10915.6,17919.5
10915.6,17938
10915.6,17803.6
10915.6,18065.9
10915.6,17865.5
10915.6,18025.5
10915.6,17649.5
10915.6,17678.4
10915.6,17678.7
10915.6,17820.7
10915.6,17946.8
10915.6,17735.7
10915.6,18082.6
10915.6,17660.9
10915.6,17889
10915.6,17918.4
10915.6,17893.7
10915.6,18029
10915.6,17963.1
10915.6,18110.7
10915.6,17747.5
10915.6,17885.4
10915.6,18198.9
10915.6,18206.6
10915.6,17930.7
10915.6,18249.2
10915.6,18041.3
10915.6,18211.5
10915.6,18182.5
10915.6,17927.8
10915.6,17893.4
10915.6,18320
10915.6,17866.7
10915.6,18092.5
10915.6,17984.3
10915.6,18089.4
10915.6,18140.3
10915.6,18264.7
10915.6,18532.4
10915.6,18409.9
10915.6,18303.8
10915.6,18282.5
10915.6,18104.7
10915.6,18353.8
10915.6,18559.2
10915.6,18509.2
10915.6,18404.4
10915.6,18105.1
10915.6,18245.1
10915.6,18230
10915.6,18509.9
10915.6,18465.1
10915.6,18121.9
10915.6,17923.3
10915.6,17825
10915.6,17838
10915.6,17860.6
10915.6,17949.1
10915.6,18164.1
10915.6,18095.7
10915.6,18086.6
10915.6,18248.9
10915.6,18135.6
10915.6,18022
10915.6,18146.6
10915.6,17943
10915.6,17855.4
10915.6,17858.4
10915.6,17785.3
10915.6,17841.5
10915.6,17963.4
10915.6,17759.4
10915.6,18099.4
10915.6,18054.9
10915.6,18150.2
10915.6,18079.1
10915.6,18163.2
10915.6,18136
10915.6,18198.8
10915.6,18503.8
10915.6,18629.6
10915.6,18255.7
10915.6,18373.8
10915.6,18324.4
10915.6,18108.8
10915.6,18493.5
10915.6,18608.7
10915.6,18658.9
10915.6,18339.9
10915.6,18251.9
10915.6,18034.9
10915.6,18050.5
10915.6,18300.2
10915.6,18060.5
10915.6,18160.8
10915.6,18291.1
10915.6,18314
10915.6,18172.1
10915.6,18137.8
10915.6,18409.8
10915.6,18342
10915.6,18021.2
10915.6,18132.3
10915.6,18160.2
10915.6,18049.1
10915.6,18158.8
10915.6,18244.4
10915.6,17971.7
10915.6,18080
10915.6,18565.3
10915.6,18161.4
10915.6,18419.8
10915.6,18437.4
10915.6,18323.2
10915.6,18459.5
10915.6,18601.9
10915.6,18296.5
10915.6,18155.7
10915.6,18195.6
10915.6,18231.9
10915.6,18183.4
10915.6,18421.7
10915.6,18446.9
10915.6,18192.2
10915.6,17801.2
10915.6,17965.2
10915.6,18037
10915.6,17901.1
10915.6,18091.6
10915.6,18212.3
10915.6,18140.8
10915.6,18273.6
10915.6,18737.7
10915.6,18315.2
10915.6,18289.6
10915.6,18182.8
10915.6,18171.6
10915.6,18534.1
10915.6,18808.3
10915.6,18636.5
10915.6,18494.1
10915.6,18268.6
10915.6,18127.3
10915.6,18290.8
10915.6,18363.7
10915.6,18027.3
10915.6,17778.3
10915.6,17635.2
10915.6,18184.6
10915.6,17910.5
10915.6,18059.3
10915.6,18146.8
10915.6,17945.8
10915.6,18337.9
10915.6,18165
10915.6,17917.9
10915.6,18128.6
10915.6,18225.2
10915.6,18313.3
10915.6,18385.3
10915.6,18092.5
10915.6,18019.4
10915.6,18160.8
10915.6,17957.5
10915.6,17875.6
10915.6,18032.6
10915.6,18217.1
10915.6,18274.8
10915.6,18002.5
10915.6,17874.4
10915.6,17881.3
10915.6,18105.5
10915.6,18109.6
10915.6,18171.9
10915.6,17919
10915.6,17847.8
10915.6,17993.9
10915.6,18631.8
10915.6,18578.4
10915.6,18520.1
10915.6,18222.3
10915.6,18134
10915.6,18130.8
10915.6,17743.6
10915.6,17751
10915.6,18077.8
10915.6,17963.7
10915.6,18088.8
10915.6,17963.8
10915.6,17732.9
10915.6,17889.3
10915.6,17674.8
10915.6,17916.7
10915.6,17875.4
10915.6,17823
10915.6,17811.5
10915.6,17835.2
10915.6,17773.8
10915.6,17926.2
10915.6,17856.6
10915.6,18047.3
10915.6,18201.8
10915.6,17799.5
10915.6,18021
10915.6,17874.5
10915.6,17927.2
10915.6,17579
10915.6,17736.6
10915.6,17607.4
10915.6,18147.4
10915.6,18259.9
10915.6,18466.3
10915.6,18358.3
10915.6,18528.9
10915.6,18953.5
10915.6,18675.4
10915.6,18595.5
10915.6,18616.6
10915.6,18440.4
10915.6,18350.2
10915.6,18450
10915.6,18178.2
